-18699,4126;7613,2634;-18623,9861;7613,2634
-18699,4126;5374,5909;-18623,9861;5374,5909
-18334,8001;12575,8995;-18334,8001;-6907,0354
-18699,4126;10476,6817;-18623,9861;10476,6817
-18699,4126;3420,6079;-18623,9861;3420,6079
-18699,4126;-1705,8616;-18623,9861;-1705,8616
-18699,4126;-3423,9125;-18623,9861;-3423,9125
-18699,4126;1678,1782;-18623,9861;1678,1782
-18699,4126;0,0000;-18623,9861;0,0000
7500,6000;-7536,8226;7500,6000;12975,6650
14167,8001;-7536,8226;14167,8001;12975,6650
11667,6001;12575,8995;11667,6001;-6907,0354
15834,6001;-7536,8226;15834,6001;12975,6650
13334,4001;12575,8995;13334,4001;-6907,0354
12501,0001;-7536,8226;12501,0001;12975,6650
8334,0000;12575,8995;8334,0000;-6907,0354
9167,4000;-7536,8226;9167,4000;12975,6650
10000,8001;12575,8995;10000,8001;-6907,0354
10834,2001;-7536,8226;10834,2001;12975,6650
-18410,9643;5374,5909;20934,4655;5374,5909
-18410,9643;3420,6079;20934,4655;3420,6079
-18410,9643;10476,6817;20934,4655;10476,6817
-18410,9643;7613,2634;20934,4655;7613,2634
-18410,9643;1678,1782;20934,4655;1678,1782
-18410,9643;-3423,9125;20934,4655;-3423,9125
-18410,9643;-5402,2743;20934,4655;-5402,2743
-18410,9643;0,0000;20934,4655;0,0000
-18410,9643;-1705,8616;20934,4655;-1705,8616
21211,4565;-5402,2743;21303,7868;-5402,2743
21211,4565;7613,2634;21303,7868;7613,2634
21211,4565;5374,5909;21303,7868;5374,5909
-18699,4126;-5402,2743;-18623,9861;-5402,2743
21211,4565;10476,6817;21303,7868;10476,6817
21211,4565;3420,6079;21303,7868;3420,6079
21211,4565;-1705,8616;21303,7868;-1705,8616
21211,4565;-3423,9125;21303,7868;-3423,9125
21211,4565;1678,1782;21303,7868;1678,1782
21211,4565;0,0000;21303,7868;0,0000
15001,2001;12575,8995;15001,2001;-6907,0354
-10000,8001;12575,8995;-10000,8001;-6907,0354
-7500,6000;-7536,8226;-7500,6000;12975,6650
-11667,6001;12575,8995;-11667,6001;-6907,0354
-9167,4000;-7536,8226;-9167,4000;12975,6650
-8334,0000;12575,8995;-8334,0000;-6907,0354
-4167,0000;-7536,8226;-4167,0000;12975,6650
-5000,4000;12575,8995;-5000,4000;-6907,0354
-5833,8000;-7536,8226;-5833,8000;12975,6650
-6667,2000;12575,8995;-6667,2000;-6907,0354
-10834,2001;-7536,8226;-10834,2001;12975,6650
-17501,4001;-7536,8226;-17501,4001;12975,6650
-15834,6001;-7536,8226;-15834,6001;12975,6650
-18699,4126;-7536,8226;-18699,4126;12975,6650
21303,7868;12975,6650;21303,7868;-7536,8226
-16668,0001;12575,8995;-16668,0001;-6907,0354
-12501,0001;-7536,8226;-12501,0001;12975,6650
-13334,4001;12575,8995;-13334,4001;-6907,0354
-14167,8001;-7536,8226;-14167,8001;12975,6650
-15001,2001;12575,8995;-15001,2001;-6907,0354
6667,2000;12575,8995;6667,2000;-6907,0354
20001,6001;12575,8995;20001,6001;-6907,0354
5833,8000;-7536,8226;5833,8000;12975,6650
5000,4000;12575,8995;5000,4000;-6907,0354
20835,0001;-7536,8226;20835,0001;12975,6650
16668,0001;12575,8995;16668,0001;-6907,0354
17501,4001;-7536,8226;17501,4001;12975,6650
18334,8001;12575,8995;18334,8001;-6907,0354
19168,2001;-7536,8226;19168,2001;12975,6650
3333,6000;12575,8995;3333,6000;-6907,0354
-833,4000;-7536,8226;-833,4000;12975,6650
-1666,8000;12575,8995;-1666,8000;-6907,0354
-2500,2000;-7536,8226;-2500,2000;12975,6650
-3333,6000;12575,8995;-3333,6000;-6907,0354
833,4000;-7536,8226;833,4000;12975,6650
1666,8000;12575,8995;1666,8000;-6907,0354
4167,0000;-7536,8226;4167,0000;12975,6650
0,0000;12575,8995;0,0000;-6893,5721
2500,2000;-7536,8226;2500,2000;12975,6650
